h,ne,tn,ti,te
558.000000,0.912597,678.528503,1248.775879,1436.389893
559.000000,0.909849,678.528503,1250.348022,1438.945679
560.000000,0.907116,678.528503,1251.919922,1441.529053
561.000000,0.904395,678.528564,1253.491821,1444.136963
562.000000,0.901689,678.528564,1255.063843,1446.770996
563.000000,0.898996,678.528564,1256.635864,1449.428345
564.000000,0.896316,678.528564,1258.207764,1452.106934
565.000000,0.893650,678.528564,1259.779663,1454.807861
566.000000,0.890996,678.528564,1261.351685,1457.526611
567.000000,0.888357,678.528564,1262.923706,1460.265137
568.000000,0.885730,678.528564,1264.495605,1463.019897
569.000000,0.883116,678.528564,1266.067627,1465.791138
570.000000,0.880515,678.528625,1267.639648,1468.577881
571.000000,0.877927,678.528625,1269.211670,1471.378052
572.000000,0.875352,678.528625,1270.783569,1474.190796
573.000000,0.872789,678.528625,1272.355469,1477.014404
574.000000,0.870239,678.528625,1273.927490,1479.851074
575.000000,0.867702,678.528625,1275.499512,1482.696655
576.000000,0.865177,678.528625,1277.071411,1485.551147
577.000000,0.862665,678.528625,1278.643311,1488.415039
578.000000,0.860165,678.528625,1280.215332,1491.285645
579.000000,0.857677,678.528625,1281.787476,1494.164917
580.000000,0.855201,678.528625,1283.359375,1497.049194
581.000000,0.852738,678.528687,1284.931274,1499.939575
582.000000,0.850286,678.528687,1286.503296,1502.836304
583.000000,0.847847,678.528687,1288.075317,1505.736938
584.000000,0.845420,678.528687,1289.647339,1508.643188
585.000000,0.843004,678.528687,1291.219238,1511.552856
586.000000,0.840600,678.528687,1292.791138,1514.466431
587.000000,0.838208,678.528687,1294.363159,1517.382935
588.000000,0.835828,678.528687,1295.935181,1520.303467
589.000000,0.833459,678.528687,1297.507202,1523.225830
590.000000,0.831101,678.528687,1299.079102,1526.151733
591.000000,0.828755,678.528687,1300.651123,1529.079712
592.000000,0.826421,678.528687,1302.223145,1532.009521
593.000000,0.824097,678.528687,1303.795044,1534.941162
594.000000,0.821785,678.528687,1305.366943,1537.874756
595.000000,0.819485,678.528687,1306.938965,1540.809814
596.000000,0.817195,678.528687,1308.510986,1543.746460
597.000000,0.814916,678.528687,1310.082886,1546.684326
598.000000,0.812648,678.528687,1311.654785,1549.623413
599.000000,0.810391,678.528748,1313.226807,1552.563477
600.000000,0.808145,678.528748,1314.798950,1555.505005
